sample_id,membership,dataset,model,neg_loss,confidence,neg_entropy,modified_entropy
member_11912,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_8085,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_7569,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_10195,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_4338,1,credit_default,random_forest,-0.3078847825527191,0.7350000143051147,-0.5782220363616943,-0.1631789356470108
member_1205,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_7750,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_715,1,credit_default,random_forest,-0.16841864585876465,0.8450000286102295,-0.43128493428230286,-0.05220978334546089
member_1701,1,credit_default,random_forest,-0.14502577483654022,0.8650000095367432,-0.3957821726799011,-0.0391569584608078
member_1059,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_10983,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_14614,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_7303,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_2312,1,credit_default,random_forest,-0.08883121609687805,0.9150000214576721,-0.2908143997192383,-0.015101306140422821
member_1656,1,credit_default,random_forest,-0.16841864585876465,0.8450000286102295,-0.43128493428230286,-0.05220978334546089
member_4343,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_674,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_2276,1,credit_default,random_forest,-0.15082289278507233,0.8600000143051147,-0.40496349334716797,-0.042230408638715744
member_702,1,credit_default,random_forest,-0.15665380656719208,0.8550000190734863,-0.41393712162971497,-0.04542960599064827
member_5016,1,credit_default,random_forest,-0.13926206529140472,0.8700000047683716,-0.3863866925239563,-0.0362081378698349
member_11192,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_12133,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_4506,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_4382,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_3256,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_2390,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_908,1,credit_default,random_forest,-0.37833642959594727,0.6850000023841858,-0.6230430006980896,-0.2383519560098648
member_117,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_1631,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_9491,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_1460,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_14807,1,credit_default,random_forest,-0.22941316664218903,0.7950000166893005,-0.507256269454956,-0.09405940026044846
member_2751,1,credit_default,random_forest,-0.23572233319282532,0.7900000214576721,-0.5139566659927368,-0.0990033820271492
member_1092,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_6586,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_264,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_10969,1,credit_default,random_forest,-0.005012542009353638,0.9950000047683716,-0.031479064375162125,-5.0125418056268245e-05
member_7565,1,credit_default,random_forest,-0.08883121609687805,0.9150000214576721,-0.2908143997192383,-0.015101306140422821
member_7228,1,credit_default,random_forest,-0.08338160812854767,0.9200000166893005,-0.2787693738937378,-0.013341057114303112
member_2891,1,credit_default,random_forest,-0.21691299974918365,0.8050000071525574,-0.49339231848716736,-0.08459606766700745
member_10166,1,credit_default,random_forest,-0.07364653795957565,0.9290000200271606,-0.25621798634529114,-0.010457809083163738
member_8692,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_11299,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_3612,1,credit_default,random_forest,-0.12783336639404297,0.8799999952316284,-0.3669250011444092,-0.030680008232593536
member_8853,1,credit_default,random_forest,-0.07257069647312164,0.9300000071525574,-0.25363895297050476,-0.010159896686673164
member_6339,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_2277,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_13930,1,credit_default,random_forest,-0.07796154171228409,0.925000011920929,-0.26638445258140564,-0.011694231070578098
member_9813,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_6314,1,credit_default,random_forest,-0.3354727327823639,0.7149999737739563,-0.5976138710975647,-0.19121946394443512
member_2562,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_9159,1,credit_default,random_forest,-0.11653381586074829,0.8899999856948853,-0.34651532769203186,-0.025637440383434296
member_5569,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_10723,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_2454,1,credit_default,random_forest,-0.24207155406475067,0.7850000262260437,-0.5205063819885254,-0.10409077256917953
member_6416,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_1690,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_7211,1,credit_default,random_forest,0.0,1.0,-2.7631020735330303e-11,-1.999933577551698e-24
member_1718,1,credit_default,random_forest,-0.2548922598361969,0.7749999761581421,-0.533163845539093,-0.11470150947570801
member_9058,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_398,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_2197,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_4926,1,credit_default,random_forest,-0.3011050820350647,0.7400000095367432,-0.5730569362640381,-0.15657465159893036
member_13821,1,credit_default,random_forest,-0.2943710684776306,0.7450000047683716,-0.5677618384361267,-0.15012924373149872
member_3097,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_2590,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_9124,1,credit_default,random_forest,-0.2810375392436981,0.7549999952316284,-0.5567750930786133,-0.1377083957195282
member_13547,1,credit_default,random_forest,-0.0998203381896019,0.9049999713897705,-0.3139558434486389,-0.018965864554047585
member_12203,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_907,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_4451,1,credit_default,random_forest,-0.10536051541566849,0.8999999761581421,-0.3250829875469208,-0.021072102710604668
member_330,1,credit_default,random_forest,-0.005012542009353638,0.9950000047683716,-0.031479064375162125,-5.0125418056268245e-05
member_13129,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_6331,1,credit_default,random_forest,-0.12216763198375702,0.8849999904632568,-0.3568430244922638,-0.02809855528175831
member_6115,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_7952,1,credit_default,random_forest,-0.0998203381896019,0.9049999713897705,-0.3139558434486389,-0.018965864554047585
member_4687,1,credit_default,random_forest,-0.349557489156723,0.7049999833106995,-0.6065680980682373,-0.20623891055583954
member_9463,1,credit_default,random_forest,-0.11653381586074829,0.8899999856948853,-0.34651532769203186,-0.025637440383434296
member_382,1,credit_default,random_forest,-0.17435339093208313,0.8399999737739563,-0.4396698772907257,-0.05579308420419693
member_1128,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_8700,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_4339,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_6194,1,credit_default,random_forest,-0.005012542009353638,0.9950000047683716,-0.031479064375162125,-5.0125418056268245e-05
member_13571,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_11547,1,credit_default,random_forest,-0.13926206529140472,0.8700000047683716,-0.3863866925239563,-0.0362081378698349
member_10319,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_1640,1,credit_default,random_forest,-0.14502577483654022,0.8650000095367432,-0.3957821726799011,-0.0391569584608078
member_10027,1,credit_default,random_forest,-0.11653381586074829,0.8899999856948853,-0.34651532769203186,-0.025637440383434296
member_14657,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_10088,1,credit_default,random_forest,-0.3710636794567108,0.6899999976158142,-0.6191006898880005,-0.23005948960781097
member_12002,1,credit_default,random_forest,-0.0998203381896019,0.9049999713897705,-0.3139558434486389,-0.018965864554047585
member_224,1,credit_default,random_forest,-0.005012542009353638,0.9950000047683716,-0.031479064375162125,-5.0125418056268245e-05
member_12974,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_9721,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_11222,1,credit_default,random_forest,-0.53614342212677,0.5849999785423279,-0.6786267757415771,-0.4449990391731262
member_555,1,credit_default,random_forest,-0.07257069647312164,0.9300000071525574,-0.25363895297050476,-0.010159896686673164
member_14714,1,credit_default,random_forest,-0.28768208622932434,0.75,-0.5623351335525513,-0.14384104311466217
member_14565,1,credit_default,random_forest,-0.4620354473590851,0.6299999952316284,-0.6589556932449341,-0.34190624952316284
member_14582,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_11193,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_1909,1,credit_default,random_forest,-0.7114809155464172,0.5090833306312561,-0.6929821372032166,-0.7244061231613159
member_9210,1,credit_default,random_forest,-0.14502577483654022,0.8650000095367432,-0.3957821726799011,-0.0391569584608078
member_396,1,credit_default,random_forest,-0.21072103083133698,0.8100000023841858,-0.4862229526042938,-0.08007398992776871
member_5692,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_8427,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_6090,1,credit_default,random_forest,-0.0998203381896019,0.9049999713897705,-0.3139558434486389,-0.018965864554047585
member_3639,1,credit_default,random_forest,-0.13926206529140472,0.8700000047683716,-0.3863866925239563,-0.0362081378698349
member_1428,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_5848,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_306,1,credit_default,random_forest,-0.08338160812854767,0.9200000166893005,-0.2787693738937378,-0.013341057114303112
member_921,1,credit_default,random_forest,-0.2744368314743042,0.7599999904632568,-0.5510799288749695,-0.13172969222068787
member_7415,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_5342,1,credit_default,random_forest,-0.28768208622932434,0.75,-0.5623351335525513,-0.14384104311466217
member_9200,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_4138,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_2253,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_7383,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_9053,1,credit_default,random_forest,-0.11653381586074829,0.8899999856948853,-0.34651532769203186,-0.025637440383434296
member_1717,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_8871,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_13704,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_14438,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_9452,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_10274,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_9205,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_3835,1,credit_default,random_forest,-0.13926206529140472,0.8700000047683716,-0.3863866925239563,-0.0362081378698349
member_11320,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_14774,1,credit_default,random_forest,-0.3710636794567108,0.6899999976158142,-0.6191006898880005,-0.23005948960781097
member_1153,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_6714,1,credit_default,random_forest,-0.07796154171228409,0.925000011920929,-0.26638445258140564,-0.011694231070578098
member_10734,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_10927,1,credit_default,random_forest,-0.11653381586074829,0.8899999856948853,-0.34651532769203186,-0.025637440383434296
member_11392,1,credit_default,random_forest,-0.14310084283351898,0.8666666746139526,-0.3926744759082794,-0.03816022351384163
member_1308,1,credit_default,random_forest,-0.3078847825527191,0.7350000143051147,-0.5782220363616943,-0.1631789356470108
member_9909,1,credit_default,random_forest,-0.08338160812854767,0.9200000166893005,-0.2787693738937378,-0.013341057114303112
member_10257,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_13531,1,credit_default,random_forest,-0.43078291416168213,0.6499999761581421,-0.6474466323852539,-0.301548033952713
member_5671,1,credit_default,random_forest,-0.2943710684776306,0.7450000047683716,-0.5677618384361267,-0.15012924373149872
member_3940,1,credit_default,random_forest,-0.07257069647312164,0.9300000071525574,-0.25363895297050476,-0.010159896686673164
member_5906,1,credit_default,random_forest,-0.15665380656719208,0.8550000190734863,-0.41393712162971497,-0.04542960599064827
member_5440,1,credit_default,random_forest,-0.4700036346912384,0.625,-0.6615632176399231,-0.3525027334690094
member_1807,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_6092,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_14468,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_6668,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_11330,1,credit_default,random_forest,-0.06720875203609467,0.9350000023841858,-0.24050910770893097,-0.008737137541174889
member_12736,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_2493,1,credit_default,random_forest,-0.267879456281662,0.7649999856948853,-0.5452476739883423,-0.12590333819389343
member_1142,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_13661,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_8161,1,credit_default,random_forest,-0.39304259419441223,0.675000011920929,-0.6305810213088989,-0.2554776966571808
member_12745,1,credit_default,random_forest,-0.21072103083133698,0.8100000023841858,-0.4862229526042938,-0.08007398992776871
member_9727,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_3143,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_8280,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_3690,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_2053,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_14662,1,credit_default,random_forest,-0.11653381586074829,0.8899999856948853,-0.34651532769203186,-0.025637440383434296
member_7992,1,credit_default,random_forest,-0.16841864585876465,0.8450000286102295,-0.43128493428230286,-0.05220978334546089
member_12239,1,credit_default,random_forest,-0.0998203381896019,0.9049999713897705,-0.3139558434486389,-0.018965864554047585
member_10199,1,credit_default,random_forest,-0.017230937257409096,0.9829166531562805,-0.08645979315042496,-0.0005887236911803484
member_2161,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_7696,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_4278,1,credit_default,random_forest,-0.10536051541566849,0.8999999761581421,-0.3250829875469208,-0.021072102710604668
member_10309,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_5917,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_13261,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_5000,1,credit_default,random_forest,-0.267879456281662,0.7649999856948853,-0.5452476739883423,-0.12590333819389343
member_12324,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_9828,1,credit_default,random_forest,-0.08338160812854767,0.9200000166893005,-0.2787693738937378,-0.013341057114303112
member_8428,1,credit_default,random_forest,-0.23572233319282532,0.7900000214576721,-0.5139566659927368,-0.0990033820271492
member_3424,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_14274,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_7178,1,credit_default,random_forest,-0.06187540292739868,0.9399999976158142,-0.22696752846240997,-0.007425048388540745
member_1522,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_5078,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_3804,1,credit_default,random_forest,-0.3566749393939972,0.699999988079071,-0.6108642816543579,-0.21400496363639832
member_14430,1,credit_default,random_forest,-0.15082289278507233,0.8600000143051147,-0.40496349334716797,-0.042230408638715744
member_4370,1,credit_default,random_forest,-0.07796154171228409,0.925000011920929,-0.26638445258140564,-0.011694231070578098
member_7845,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_9073,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_1166,1,credit_default,random_forest,-0.26136475801467896,0.7699999809265137,-0.5392763614654541,-0.12022779136896133
member_14053,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_10500,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_13121,1,credit_default,random_forest,-0.1803235560655594,0.8349999785423279,-0.44786879420280457,-0.059506773948669434
member_4349,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_1972,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_2386,1,credit_default,random_forest,0.0,1.0,-2.7631020735330303e-11,-1.999933577551698e-24
member_6578,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_8934,1,credit_default,random_forest,-0.10536051541566849,0.8999999761581421,-0.3250829875469208,-0.021072102710604668
member_4146,1,credit_default,random_forest,-0.07796154171228409,0.925000011920929,-0.26638445258140564,-0.011694231070578098
member_10616,1,credit_default,random_forest,-0.5108256340026855,0.6000000238418579,-0.6730116605758667,-0.40866050124168396
member_2895,1,credit_default,random_forest,-0.02020270749926567,0.9800000190734863,-0.09803911298513412,-0.0008081083069555461
member_7708,1,credit_default,random_forest,-0.005012542009353638,0.9950000047683716,-0.031479064375162125,-5.0125418056268245e-05
member_12478,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_2528,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_11628,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_11695,1,credit_default,random_forest,-0.12216763198375702,0.8849999904632568,-0.3568430244922638,-0.02809855528175831
member_13127,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_3742,1,credit_default,random_forest,-0.2231435477733612,0.800000011920929,-0.5004024505615234,-0.08925741910934448
member_7276,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_3179,1,credit_default,random_forest,-0.1803235560655594,0.8349999785423279,-0.44786879420280457,-0.059506773948669434
member_10513,1,credit_default,random_forest,-0.17435339093208313,0.8399999737739563,-0.4396698772907257,-0.05579308420419693
member_11134,1,credit_default,random_forest,-0.3856624662876129,0.6800000071525574,-0.6268694400787354,-0.2468239814043045
member_6639,1,credit_default,random_forest,-0.23572233319282532,0.7900000214576721,-0.5139566659927368,-0.0990033820271492
member_390,1,credit_default,random_forest,-0.12216763198375702,0.8849999904632568,-0.3568430244922638,-0.02809855528175831
member_4037,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_8604,1,credit_default,random_forest,-0.18632957339286804,0.8299999833106995,-0.45588621497154236,-0.0633520558476448
member_3582,1,credit_default,random_forest,-0.39304259419441223,0.675000011920929,-0.6305810213088989,-0.2554776966571808
member_7666,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_797,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_6527,1,credit_default,random_forest,-0.0100503358989954,0.9900000095367432,-0.056001532822847366,-0.00020100671099498868
member_8466,1,credit_default,random_forest,-0.1625189334154129,0.8500000238418579,-0.42270907759666443,-0.04875567927956581
